area,year,sex,age,educational_attainment,,value
armenia,2001,male,15 - 19,first level,,11394
armenia,2001,male,15 - 19,second level,,141237
armenia,2001,male,15 - 19,third level,,3341
armenia,2001,male,20 - 24,first level,,3751
armenia,2001,male,20 - 24,second level,,102641
armenia,2001,male,20 - 24,third level,,25158
armenia,2001,male,25 - 29,first level,,2090
armenia,2001,male,25 - 29,second level,,79392
armenia,2001,male,25 - 29,third level,,25729
armenia,2001,male,30 - 34,first level,,1625
armenia,2001,male,30 - 34,second level,,72629
armenia,2001,male,30 - 34,third level,,22530
armenia,2001,male,35 - 39,first level,,1900
armenia,2001,male,35 - 39,second level,,87397
armenia,2001,male,35 - 39,third level,,25338
armenia,2001,male,40 - 44,first level,,2383
armenia,2001,male,40 - 44,second level,,98921
armenia,2001,male,40 - 44,third level,,29969
armenia,2001,male,45 - 49,first level,,2188
armenia,2001,male,45 - 49,second level,,70975
armenia,2001,male,45 - 49,third level,,25538
armenia,2001,male,50 - 54,first level,,1780
armenia,2001,male,50 - 54,second level,,47800
armenia,2001,male,50 - 54,third level,,21434
armenia,2001,male,55 - 59,first level,,2154
armenia,2001,male,55 - 59,second level,,23784
armenia,2001,male,55 - 59,third level,,9593
armenia,2001,male,60 - 64,first level,,7600
armenia,2001,male,60 - 64,second level,,42688
armenia,2001,male,60 - 64,third level,,13476
armenia,2001,female,15 - 19,first level,,8573
armenia,2001,female,15 - 19,second level,,142915
armenia,2001,female,15 - 19,third level,,4427
armenia,2001,female,20 - 24,first level,,1927
armenia,2001,female,20 - 24,second level,,99639
armenia,2001,female,20 - 24,third level,,33561
armenia,2001,female,25 - 29,first level,,1340
armenia,2001,female,25 - 29,second level,,82717
armenia,2001,female,25 - 29,third level,,30685
armenia,2001,female,30 - 34,first level,,1173
armenia,2001,female,30 - 34,second level,,79304
armenia,2001,female,30 - 34,third level,,26673
armenia,2001,female,35 - 39,first level,,1532
armenia,2001,female,35 - 39,second level,,100053
armenia,2001,female,35 - 39,third level,,27347
armenia,2001,female,40 - 44,first level,,1927
armenia,2001,female,40 - 44,second level,,111378
armenia,2001,female,40 - 44,third level,,30743
armenia,2001,female,45 - 49,first level,,2243
armenia,2001,female,45 - 49,second level,,82896
armenia,2001,female,45 - 49,third level,,26942
armenia,2001,female,50 - 54,first level,,2744
armenia,2001,female,50 - 54,second level,,56813
armenia,2001,female,50 - 54,third level,,22434
armenia,2001,female,55 - 59,first level,,3255
armenia,2001,female,55 - 59,second level,,30354
armenia,2001,female,55 - 59,third level,,10079
armenia,2001,female,60 - 64,first level,,11573
armenia,2001,female,60 - 64,second level,,56329
armenia,2001,female,60 - 64,third level,,12140
azerbaijan,1999,male,15 - 19,first level,,2891
azerbaijan,1999,male,15 - 19,second level,,377470
azerbaijan,1999,male,15 - 19,third level,,0
azerbaijan,1999,male,20 - 24,first level,,1326
azerbaijan,1999,male,20 - 24,second level,,291722
azerbaijan,1999,male,20 - 24,third level,,19282
azerbaijan,1999,male,55 - 59,first level,,3848
azerbaijan,1999,male,55 - 59,second level,,73723
azerbaijan,1999,male,55 - 59,third level,,19654
azerbaijan,1999,male,60 - 64,first level,,10457
azerbaijan,1999,male,60 - 64,second level,,95076
azerbaijan,1999,male,60 - 64,third level,,18584
azerbaijan,1999,female,15 - 19,first level,,3252
azerbaijan,1999,female,15 - 19,second level,,371880
azerbaijan,1999,female,15 - 19,third level,,0
azerbaijan,1999,female,20 - 24,first level,,1988
azerbaijan,1999,female,20 - 24,second level,,311021
azerbaijan,1999,female,20 - 24,third level,,20970
azerbaijan,1999,female,55 - 59,first level,,12938
azerbaijan,1999,female,55 - 59,second level,,84487
azerbaijan,1999,female,55 - 59,third level,,9368
azerbaijan,1999,female,60 - 64,first level,,26535
azerbaijan,1999,female,60 - 64,second level,,101945
azerbaijan,1999,female,60 - 64,third level,,8389
bahrain,2001,male,15 - 19,first level,,19879
bahrain,2001,male,15 - 19,second level,,5483
bahrain,2001,male,15 - 19,third level,,0
bahrain,2001,male,20 - 24,first level,,10439
bahrain,2001,male,20 - 24,second level,,15458
bahrain,2001,male,20 - 24,third level,,1101
bahrain,2001,male,25 - 29,first level,,10659
bahrain,2001,male,25 - 29,second level,,15414
bahrain,2001,male,25 - 29,third level,,3661
bahrain,2001,male,30 - 34,first level,,10031
bahrain,2001,male,30 - 34,second level,,15075
bahrain,2001,male,30 - 34,third level,,4470
bahrain,2001,male,35 - 39,first level,,9134
bahrain,2001,male,35 - 39,second level,,13271
bahrain,2001,male,35 - 39,third level,,4803
bahrain,2001,male,40 - 44,first level,,8286
bahrain,2001,male,40 - 44,second level,,10455
bahrain,2001,male,40 - 44,third level,,4589
bahrain,2001,male,45 - 49,first level,,5708
bahrain,2001,male,45 - 49,second level,,7306
bahrain,2001,male,45 - 49,third level,,3958
bahrain,2001,male,50 - 54,first level,,3133
bahrain,2001,male,50 - 54,second level,,4303
bahrain,2001,male,50 - 54,third level,,2469
bahrain,2001,male,55 - 59,first level,,1387
bahrain,2001,male,55 - 59,second level,,1823
bahrain,2001,male,55 - 59,third level,,1266
bahrain,2001,male,60 - 64,first level,,800
bahrain,2001,male,60 - 64,second level,,801
bahrain,2001,male,60 - 64,third level,,586
bahrain,2001,female,15 - 19,first level,,17660
bahrain,2001,female,15 - 19,second level,,6344
bahrain,2001,female,15 - 19,third level,,0
bahrain,2001,female,20 - 24,first level,,4519
bahrain,2001,female,20 - 24,second level,,16489
bahrain,2001,female,20 - 24,third level,,1703
bahrain,2001,female,25 - 29,first level,,4409
bahrain,2001,female,25 - 29,second level,,12434
bahrain,2001,female,25 - 29,third level,,4332
bahrain,2001,female,30 - 34,first level,,5269
bahrain,2001,female,30 - 34,second level,,11201
bahrain,2001,female,30 - 34,third level,,4252
bahrain,2001,female,35 - 39,first level,,5348
bahrain,2001,female,35 - 39,second level,,9483
bahrain,2001,female,35 - 39,third level,,3901
bahrain,2001,female,40 - 44,first level,,4108
bahrain,2001,female,40 - 44,second level,,6664
bahrain,2001,female,40 - 44,third level,,2940
bahrain,2001,female,45 - 49,first level,,2585
bahrain,2001,female,45 - 49,second level,,3538
bahrain,2001,female,45 - 49,third level,,1829
bahrain,2001,female,50 - 54,first level,,1215
bahrain,2001,female,50 - 54,second level,,1403
bahrain,2001,female,50 - 54,third level,,817
bahrain,2001,female,55 - 59,first level,,643
bahrain,2001,female,55 - 59,second level,,475
bahrain,2001,female,55 - 59,third level,,266
bahrain,2001,female,60 - 64,first level,,376
bahrain,2001,female,60 - 64,second level,,191
bahrain,2001,female,60 - 64,third level,,91
belarus,1999,male,15 - 19,first level,,34953
belarus,1999,male,15 - 19,second level,,351906
belarus,1999,male,15 - 19,third level,,0
belarus,1999,male,20 - 24,first level,,3022
belarus,1999,male,20 - 24,second level,,234416
belarus,1999,male,20 - 24,third level,,29549
belarus,1999,male,55 - 59,first level,,31051
belarus,1999,male,55 - 59,second level,,108930
belarus,1999,male,55 - 59,third level,,34699
belarus,1999,male,60 - 64,first level,,65598
belarus,1999,male,60 - 64,second level,,98455
belarus,1999,male,60 - 64,third level,,37248
belarus,1999,female,15 - 19,first level,,29469
belarus,1999,female,15 - 19,second level,,338494
belarus,1999,female,15 - 19,third level,,0
belarus,1999,female,20 - 24,first level,,1621
belarus,1999,female,20 - 24,second level,,194617
belarus,1999,female,20 - 24,third level,,34709
belarus,1999,female,55 - 59,first level,,43953
belarus,1999,female,55 - 59,second level,,128823
belarus,1999,female,55 - 59,third level,,33879
belarus,1999,female,60 - 64,first level,,106629
belarus,1999,female,60 - 64,second level,,129357
belarus,1999,female,60 - 64,third level,,32972
bulgaria,2001,male,15 - 19,first level,,198895
bulgaria,2001,male,15 - 19,second level,,63234
bulgaria,2001,male,15 - 19,third level,,5
bulgaria,2001,male,20 - 24,first level,,69916
bulgaria,2001,male,20 - 24,second level,,208869
bulgaria,2001,male,20 - 24,third level,,8545
bulgaria,2001,male,25 - 29,first level,,65966
bulgaria,2001,male,25 - 29,second level,,175173
bulgaria,2001,male,25 - 29,third level,,44132
bulgaria,2001,male,30 - 34,first level,,55556
bulgaria,2001,male,30 - 34,second level,,164980
bulgaria,2001,male,30 - 34,third level,,50097
bulgaria,2001,male,35 - 39,first level,,53495
bulgaria,2001,male,35 - 39,second level,,157791
bulgaria,2001,male,35 - 39,third level,,49286
bulgaria,2001,male,40 - 44,first level,,61856
bulgaria,2001,male,40 - 44,second level,,157804
bulgaria,2001,male,40 - 44,third level,,51103
bulgaria,2001,male,45 - 49,first level,,80862
bulgaria,2001,male,45 - 49,second level,,140088
bulgaria,2001,male,45 - 49,third level,,51734
bulgaria,2001,male,50 - 54,first level,,100060
bulgaria,2001,male,50 - 54,second level,,134869
bulgaria,2001,male,50 - 54,third level,,48672
bulgaria,2001,male,55 - 59,first level,,104043
bulgaria,2001,male,55 - 59,second level,,84361
bulgaria,2001,male,55 - 59,third level,,36721
bulgaria,2001,male,60 - 64,first level,,105906
bulgaria,2001,male,60 - 64,second level,,61010
bulgaria,2001,male,60 - 64,third level,,31596
bulgaria,2001,male,65 - 69,first level,,120319
bulgaria,2001,male,65 - 69,second level,,47717
bulgaria,2001,male,65 - 69,third level,,29229
bulgaria,2001,male,70 - 74,first level,,98247
bulgaria,2001,male,70 - 74,second level,,38358
bulgaria,2001,male,70 - 74,third level,,23778
bulgaria,2001,male,75 - 79,first level,,78434
bulgaria,2001,male,75 - 79,second level,,18885
bulgaria,2001,male,75 - 79,third level,,14703
bulgaria,2001,male,80 - 84,first level,,31661
bulgaria,2001,male,80 - 84,second level,,5592
bulgaria,2001,male,80 - 84,third level,,4792
bulgaria,2001,female,15 - 19,first level,,184879
bulgaria,2001,female,15 - 19,second level,,62762
bulgaria,2001,female,15 - 19,third level,,3
bulgaria,2001,female,20 - 24,first level,,56763
bulgaria,2001,female,20 - 24,second level,,180026
bulgaria,2001,female,20 - 24,third level,,34652
bulgaria,2001,female,25 - 29,first level,,54346
bulgaria,2001,female,25 - 29,second level,,132942
bulgaria,2001,female,25 - 29,third level,,85938
bulgaria,2001,female,30 - 34,first level,,48322
bulgaria,2001,female,30 - 34,second level,,138204
bulgaria,2001,female,30 - 34,third level,,75322
bulgaria,2001,female,35 - 39,first level,,48337
bulgaria,2001,female,35 - 39,second level,,142454
bulgaria,2001,female,35 - 39,third level,,65708
bulgaria,2001,female,40 - 44,first level,,54398
bulgaria,2001,female,40 - 44,second level,,141771
bulgaria,2001,female,40 - 44,third level,,74541
bulgaria,2001,female,45 - 49,first level,,70765
bulgaria,2001,female,45 - 49,second level,,133747
bulgaria,2001,female,45 - 49,third level,,75568
bulgaria,2001,female,50 - 54,first level,,93951
bulgaria,2001,female,50 - 54,second level,,142731
bulgaria,2001,female,50 - 54,third level,,61673
bulgaria,2001,female,55 - 59,first level,,111846
bulgaria,2001,female,55 - 59,second level,,85517
bulgaria,2001,female,55 - 59,third level,,48066
bulgaria,2001,female,60 - 64,first level,,123740
bulgaria,2001,female,60 - 64,second level,,69569
bulgaria,2001,female,60 - 64,third level,,32638
bulgaria,2001,female,65 - 69,first level,,151683
bulgaria,2001,female,65 - 69,second level,,60162
bulgaria,2001,female,65 - 69,third level,,22007
bulgaria,2001,female,70 - 74,first level,,146785
bulgaria,2001,female,70 - 74,second level,,42289
bulgaria,2001,female,70 - 74,third level,,15592
bulgaria,2001,female,75 - 79,first level,,128576
bulgaria,2001,female,75 - 79,second level,,21369
bulgaria,2001,female,75 - 79,third level,,8507
bulgaria,2001,female,80 - 84,first level,,52536
bulgaria,2001,female,80 - 84,second level,,7408
bulgaria,2001,female,80 - 84,third level,,2268
canada,2001,male,15 - 19,first level,,38500
canada,2001,male,15 - 19,second level,,960660
canada,2001,male,15 - 19,third level,,53485
canada,2001,male,20 - 24,first level,,20195
canada,2001,male,20 - 24,second level,,660710
canada,2001,male,20 - 24,third level,,297690
canada,2001,male,55 - 59,first level,,108590
canada,2001,male,55 - 59,second level,,453535
canada,2001,male,55 - 59,third level,,215175
canada,2001,male,60 - 64,first level,,126455
canada,2001,male,60 - 64,second level,,344515
canada,2001,male,60 - 64,third level,,137145
canada,2001,female,15 - 19,first level,,25940
canada,2001,female,15 - 19,second level,,890520
canada,2001,female,15 - 19,third level,,73170
canada,2001,female,20 - 24,first level,,13880
canada,2001,female,20 - 24,second level,,560765
canada,2001,female,20 - 24,third level,,386950
canada,2001,female,55 - 59,first level,,105655
canada,2001,female,55 - 59,second level,,511210
canada,2001,female,55 - 59,third level,,173325
canada,2001,female,60 - 64,first level,,126020
canada,2001,female,60 - 64,second level,,405490
canada,2001,female,60 - 64,third level,,104450
canada,2001,male,15 - 19,first level,,24840
canada,2001,male,15 - 19,second level,,742135
canada,2001,male,15 - 19,third level,,45305
canada,2001,male,20 - 24,first level,,13060
canada,2001,male,20 - 24,second level,,532515
canada,2001,male,20 - 24,third level,,267330
canada,2001,male,55 - 59,first level,,68725
canada,2001,male,55 - 59,second level,,334795
canada,2001,male,55 - 59,third level,,181005
canada,2001,male,60 - 64,first level,,83795
canada,2001,male,60 - 64,second level,,255515
canada,2001,male,60 - 64,third level,,115125
canada,2001,female,15 - 19,first level,,17060
canada,2001,female,15 - 19,second level,,694205
canada,2001,female,15 - 19,third level,,60525
canada,2001,female,20 - 24,first level,,9445
canada,2001,female,20 - 24,second level,,463755
canada,2001,female,20 - 24,third level,,343065
canada,2001,female,55 - 59,first level,,78515
canada,2001,female,55 - 59,second level,,390650
canada,2001,female,55 - 59,third level,,143810
canada,2001,female,60 - 64,first level,,95700
canada,2001,female,60 - 64,second level,,313055
canada,2001,female,60 - 64,third level,,86250
canada,2001,male,15 - 19,first level,,13655
canada,2001,male,15 - 19,second level,,218525
canada,2001,male,15 - 19,third level,,8180
canada,2001,male,20 - 24,first level,,7130
canada,2001,male,20 - 24,second level,,128195
canada,2001,male,20 - 24,third level,,30355
canada,2001,male,55 - 59,first level,,39865
canada,2001,male,55 - 59,second level,,118740
canada,2001,male,55 - 59,third level,,34170
canada,2001,male,60 - 64,first level,,42660
canada,2001,male,60 - 64,second level,,89000
canada,2001,male,60 - 64,third level,,22020
canada,2001,female,15 - 19,first level,,8880
canada,2001,female,15 - 19,second level,,196315
canada,2001,female,15 - 19,third level,,12655
canada,2001,female,20 - 24,first level,,4430
canada,2001,female,20 - 24,second level,,97015
canada,2001,female,20 - 24,third level,,43885
canada,2001,female,55 - 59,first level,,27135
canada,2001,female,55 - 59,second level,,120560
canada,2001,female,55 - 59,third level,,29515
canada,2001,female,60 - 64,first level,,30320
canada,2001,female,60 - 64,second level,,92435
canada,2001,female,60 - 64,third level,,18195
chile,2002,male,15 - 19,first level,,122491
chile,2002,male,15 - 19,second level,,469933
chile,2002,male,15 - 19,third level,,47118
chile,2002,male,20 - 24,first level,,101071
chile,2002,male,20 - 24,second level,,307291
chile,2002,male,20 - 24,third level,,186165
chile,2002,male,25 - 29,first level,,122422
chile,2002,male,25 - 29,second level,,267461
chile,2002,male,25 - 29,third level,,191589
chile,2002,male,30 - 34,first level,,145509
chile,2002,male,30 - 34,second level,,268889
chile,2002,male,30 - 34,third level,,164987
chile,2002,male,35 - 39,first level,,177794
chile,2002,male,35 - 39,second level,,267551
chile,2002,male,35 - 39,third level,,142645
chile,2002,male,40 - 44,first level,,174392
chile,2002,male,40 - 44,second level,,237859
chile,2002,male,40 - 44,third level,,122751
chile,2002,male,45 - 49,first level,,149134
chile,2002,male,45 - 49,second level,,180500
chile,2002,male,45 - 49,third level,,96803
chile,2002,male,50 - 54,first level,,152242
chile,2002,male,50 - 54,second level,,122145
chile,2002,male,50 - 54,third level,,77322
chile,2002,male,55 - 59,first level,,135293
chile,2002,male,55 - 59,second level,,87324
chile,2002,male,55 - 59,third level,,50314
chile,2002,male,60 - 64,first level,,117456
chile,2002,male,60 - 64,second level,,63557
chile,2002,male,60 - 64,third level,,32353
chile,2002,male,65 - 69,first level,,96983
chile,2002,male,65 - 69,second level,,45344
chile,2002,male,65 - 69,third level,,20863
chile,2002,male,70 - 74,first level,,82205
chile,2002,male,70 - 74,second level,,35401
chile,2002,male,70 - 74,third level,,15656
chile,2002,male,75 - 79,first level,,49382
chile,2002,male,75 - 79,second level,,19451
chile,2002,male,75 - 79,third level,,8818
chile,2002,male,80 - 84,first level,,27401
chile,2002,male,80 - 84,second level,,10452
chile,2002,male,80 - 84,third level,,4799
chile,2002,male,85 - 89,first level,,13259
chile,2002,male,85 - 89,second level,,4882
chile,2002,male,85 - 89,third level,,2544
chile,2002,male,90 - 94,first level,,4197
chile,2002,male,90 - 94,second level,,1864
chile,2002,male,90 - 94,third level,,1064
chile,2002,male,95 - 99,first level,,1197
chile,2002,male,95 - 99,second level,,679
chile,2002,male,95 - 99,third level,,337
chile,2002,female,15 - 19,first level,,96770
chile,2002,female,15 - 19,second level,,472847
chile,2002,female,15 - 19,third level,,49340
chile,2002,female,20 - 24,first level,,88137
chile,2002,female,20 - 24,second level,,306571
chile,2002,female,20 - 24,third level,,192697
chile,2002,female,25 - 29,first level,,113059
chile,2002,female,25 - 29,second level,,281020
chile,2002,female,25 - 29,third level,,195121
chile,2002,female,30 - 34,first level,,144878
chile,2002,female,30 - 34,second level,,281027
chile,2002,female,30 - 34,third level,,166368
chile,2002,female,35 - 39,first level,,189885
chile,2002,female,35 - 39,second level,,278700
chile,2002,female,35 - 39,third level,,143166
chile,2002,female,40 - 44,first level,,188908
chile,2002,female,40 - 44,second level,,253979
chile,2002,female,40 - 44,third level,,117717
chile,2002,female,45 - 49,first level,,168318
chile,2002,female,45 - 49,second level,,186451
chile,2002,female,45 - 49,third level,,90851
chile,2002,female,50 - 54,first level,,174650
chile,2002,female,50 - 54,second level,,128296
chile,2002,female,50 - 54,third level,,65093
chile,2002,female,55 - 59,first level,,156285
chile,2002,female,55 - 59,second level,,92801
chile,2002,female,55 - 59,third level,,38164
chile,2002,female,60 - 64,first level,,142815
chile,2002,female,60 - 64,second level,,70611
chile,2002,female,60 - 64,third level,,23100
chile,2002,female,65 - 69,first level,,121081
chile,2002,female,65 - 69,second level,,52377
chile,2002,female,65 - 69,third level,,14526
chile,2002,female,70 - 74,first level,,109853
chile,2002,female,70 - 74,second level,,45834
chile,2002,female,70 - 74,third level,,10964
chile,2002,female,75 - 79,first level,,70241
chile,2002,female,75 - 79,second level,,28267
chile,2002,female,75 - 79,third level,,5780
chile,2002,female,80 - 84,first level,,46734
chile,2002,female,80 - 84,second level,,18594
chile,2002,female,80 - 84,third level,,3838
chile,2002,female,85 - 89,first level,,26868
chile,2002,female,85 - 89,second level,,11035
chile,2002,female,85 - 89,third level,,2234
chile,2002,female,90 - 94,first level,,9902
chile,2002,female,90 - 94,second level,,4523
chile,2002,female,90 - 94,third level,,1058
chile,2002,female,95 - 99,first level,,3000
chile,2002,female,95 - 99,second level,,1399
chile,2002,female,95 - 99,third level,,419
china,2000,male,15 - 19,first level,,6373393
china,2000,male,15 - 19,second level,,44354303
china,2000,male,15 - 19,third level,,1738626
china,2000,male,20 - 24,first level,,7136416
china,2000,male,20 - 24,second level,,35824156
china,2000,male,20 - 24,third level,,4428398
china,2000,male,25 - 29,first level,,12165775
china,2000,male,25 - 29,second level,,42821137
china,2000,male,25 - 29,third level,,4400484
china,2000,male,30 - 34,first level,,15609427
china,2000,male,30 - 34,second level,,44488795
china,2000,male,30 - 34,third level,,4265120
china,2000,male,35 - 39,first level,,10694374
china,2000,male,35 - 39,second level,,40738150
china,2000,male,35 - 39,third level,,3882576
china,2000,male,40 - 44,first level,,10769902
china,2000,male,40 - 44,second level,,28178986
china,2000,male,40 - 44,third level,,2168835
china,2000,male,45 - 49,first level,,17239131
china,2000,male,45 - 49,second level,,22965276
china,2000,male,45 - 49,third level,,1859946
china,2000,male,50 - 54,first level,,16143762
china,2000,male,50 - 54,second level,,13279001
china,2000,male,50 - 54,third level,,1302609
china,2000,male,55 - 59,first level,,11514877
china,2000,male,55 - 59,second level,,9162944
china,2000,male,55 - 59,third level,,1004599
china,2000,male,60 - 64,first level,,10897611
china,2000,male,60 - 64,second level,,5922530
china,2000,male,60 - 64,third level,,1038505
china,2000,female,15 - 19,first level,,7741596
china,2000,female,15 - 19,second level,,40026646
china,2000,female,15 - 19,third level,,1721521
china,2000,female,20 - 24,first level,,9170284
china,2000,female,20 - 24,second level,,32721336
china,2000,female,20 - 24,third level,,3672644
china,2000,female,25 - 29,first level,,16036714
china,2000,female,25 - 29,second level,,35963194
china,2000,female,25 - 29,third level,,3466751
china,2000,female,30 - 34,first level,,21468530
china,2000,female,30 - 34,second level,,35126769
china,2000,female,30 - 34,third level,,2765762
china,2000,female,35 - 39,first level,,16845151
china,2000,female,35 - 39,second level,,31381946
china,2000,female,35 - 39,third level,,2018298
china,2000,female,40 - 44,first level,,15666832
china,2000,female,40 - 44,second level,,18559594
china,2000,female,40 - 44,third level,,987414
china,2000,female,45 - 49,first level,,21391942
china,2000,female,45 - 49,second level,,13116138
china,2000,female,45 - 49,third level,,828249
china,2000,female,50 - 54,first level,,16797817
china,2000,female,50 - 54,second level,,6994610
china,2000,female,50 - 54,third level,,473567
china,2000,female,55 - 59,first level,,10475978
china,2000,female,55 - 59,second level,,4540308
china,2000,female,55 - 59,third level,,362928
china,2000,female,60 - 64,first level,,7863767
china,2000,female,60 - 64,second level,,2417198
china,2000,female,60 - 64,third level,,311021
"china, macao sar",2016,male,15 - 19,first level,,1778
"china, macao sar",2016,male,15 - 19,second level,,13860
"china, macao sar",2016,male,15 - 19,third level,,43
"china, macao sar",2016,male,20 - 24,first level,,1007
"china, macao sar",2016,male,20 - 24,second level,,17111
"china, macao sar",2016,male,20 - 24,third level,,7393
"china, macao sar",2016,male,25 - 29,first level,,2532
"china, macao sar",2016,male,25 - 29,second level,,15427
"china, macao sar",2016,male,25 - 29,third level,,17244
"china, macao sar",2016,male,30 - 34,first level,,2424
"china, macao sar",2016,male,30 - 34,second level,,15846
"china, macao sar",2016,male,30 - 34,third level,,13517
"china, macao sar",2016,male,35 - 39,first level,,2266
"china, macao sar",2016,male,35 - 39,second level,,12562
"china, macao sar",2016,male,35 - 39,third level,,9533
"china, macao sar",2016,male,40 - 44,first level,,3756
"china, macao sar",2016,male,40 - 44,second level,,12618
"china, macao sar",2016,male,40 - 44,third level,,7218
"china, macao sar",2016,male,45 - 49,first level,,4962
"china, macao sar",2016,male,45 - 49,second level,,11955
"china, macao sar",2016,male,45 - 49,third level,,4947
"china, macao sar",2016,male,50 - 54,first level,,6401
"china, macao sar",2016,male,50 - 54,second level,,13294
"china, macao sar",2016,male,50 - 54,third level,,3398
"china, macao sar",2016,male,55 - 59,first level,,8193
"china, macao sar",2016,male,55 - 59,second level,,13274
"china, macao sar",2016,male,55 - 59,third level,,2265
"china, macao sar",2016,male,60 - 64,first level,,8572
"china, macao sar",2016,male,60 - 64,second level,,8434
"china, macao sar",2016,male,60 - 64,third level,,1251
"china, macao sar",2016,female,15 - 19,first level,,1021
"china, macao sar",2016,female,15 - 19,second level,,15817
"china, macao sar",2016,female,15 - 19,third level,,50
"china, macao sar",2016,female,20 - 24,first level,,574
"china, macao sar",2016,female,20 - 24,second level,,16115
"china, macao sar",2016,female,20 - 24,third level,,10401
"china, macao sar",2016,female,25 - 29,first level,,1055
"china, macao sar",2016,female,25 - 29,second level,,13413
"china, macao sar",2016,female,25 - 29,third level,,21167
"china, macao sar",2016,female,30 - 34,first level,,1637
"china, macao sar",2016,female,30 - 34,second level,,15236
"china, macao sar",2016,female,30 - 34,third level,,14974
"china, macao sar",2016,female,35 - 39,first level,,2120
"china, macao sar",2016,female,35 - 39,second level,,13111
"china, macao sar",2016,female,35 - 39,third level,,10188
"china, macao sar",2016,female,40 - 44,first level,,4127
"china, macao sar",2016,female,40 - 44,second level,,15877
"china, macao sar",2016,female,40 - 44,third level,,7425
"china, macao sar",2016,female,45 - 49,first level,,6423
"china, macao sar",2016,female,45 - 49,second level,,16867
"china, macao sar",2016,female,45 - 49,third level,,4874
"china, macao sar",2016,female,50 - 54,first level,,9699
"china, macao sar",2016,female,50 - 54,second level,,16317
"china, macao sar",2016,female,50 - 54,third level,,3312
"china, macao sar",2016,female,55 - 59,first level,,10451
"china, macao sar",2016,female,55 - 59,second level,,11714
"china, macao sar",2016,female,55 - 59,third level,,1684
"china, macao sar",2016,female,60 - 64,first level,,10600
"china, macao sar",2016,female,60 - 64,second level,,6488
"china, macao sar",2016,female,60 - 64,third level,,1065
"china, macao sar",2011,male,15 - 19,first level,,3934
"china, macao sar",2011,male,15 - 19,second level,,15389
"china, macao sar",2011,male,15 - 19,third level,,102
"china, macao sar",2011,male,20 - 24,first level,,2339
"china, macao sar",2011,male,20 - 24,second level,,19059
"china, macao sar",2011,male,20 - 24,third level,,5374
"china, macao sar",2011,male,25 - 29,first level,,2352
"china, macao sar",2011,male,25 - 29,second level,,14885
"china, macao sar",2011,male,25 - 29,third level,,9605
"china, macao sar",2011,male,30 - 34,first level,,2059
"china, macao sar",2011,male,30 - 34,second level,,10525
"china, macao sar",2011,male,30 - 34,third level,,7907
"china, macao sar",2011,male,35 - 39,first level,,2973
"china, macao sar",2011,male,35 - 39,second level,,11030
"china, macao sar",2011,male,35 - 39,third level,,6382
"china, macao sar",2011,male,40 - 44,first level,,3770
"china, macao sar",2011,male,40 - 44,second level,,10622
"china, macao sar",2011,male,40 - 44,third level,,4500
"china, macao sar",2011,male,45 - 49,first level,,6140
"china, macao sar",2011,male,45 - 49,second level,,12993
"china, macao sar",2011,male,45 - 49,third level,,3361
"china, macao sar",2011,male,50 - 54,first level,,8008
"china, macao sar",2011,male,50 - 54,second level,,13271
"china, macao sar",2011,male,50 - 54,third level,,2020
"china, macao sar",2011,male,55 - 59,first level,,8779
"china, macao sar",2011,male,55 - 59,second level,,8981
"china, macao sar",2011,male,55 - 59,third level,,1444
"china, macao sar",2011,male,60 - 64,first level,,6447
"china, macao sar",2011,male,60 - 64,second level,,5813
"china, macao sar",2011,male,60 - 64,third level,,971
"china, macao sar",2011,female,15 - 19,first level,,2226
"china, macao sar",2011,female,15 - 19,second level,,16767
"china, macao sar",2011,female,15 - 19,third level,,191
"china, macao sar",2011,female,20 - 24,first level,,1256
"china, macao sar",2011,female,20 - 24,second level,,20127
"china, macao sar",2011,female,20 - 24,third level,,7644
"china, macao sar",2011,female,25 - 29,first level,,1437
"china, macao sar",2011,female,25 - 29,second level,,15287
"china, macao sar",2011,female,25 - 29,third level,,12528
"china, macao sar",2011,female,30 - 34,first level,,2067
"china, macao sar",2011,female,30 - 34,second level,,11675
"china, macao sar",2011,female,30 - 34,third level,,7872
"china, macao sar",2011,female,35 - 39,first level,,3579
"china, macao sar",2011,female,35 - 39,second level,,14101
"china, macao sar",2011,female,35 - 39,third level,,6341
"china, macao sar",2011,female,40 - 44,first level,,5820
"china, macao sar",2011,female,40 - 44,second level,,15193
"china, macao sar",2011,female,40 - 44,third level,,4573
"china, macao sar",2011,female,45 - 49,first level,,9000
"china, macao sar",2011,female,45 - 49,second level,,16023
"china, macao sar",2011,female,45 - 49,third level,,3060
"china, macao sar",2011,female,50 - 54,first level,,10304
"china, macao sar",2011,female,50 - 54,second level,,11451
"china, macao sar",2011,female,50 - 54,third level,,1665
"china, macao sar",2011,female,55 - 59,first level,,9745
"china, macao sar",2011,female,55 - 59,second level,,6642
"china, macao sar",2011,female,55 - 59,third level,,1159
"china, macao sar",2011,female,60 - 64,first level,,6817
"china, macao sar",2011,female,60 - 64,second level,,3879
"china, macao sar",2011,female,60 - 64,third level,,649
cook islands,1996,male,15 - 19,first level,,21
cook islands,1996,male,15 - 19,second level,,837
cook islands,1996,male,15 - 19,third level,,0
cook islands,1996,male,20 - 24,first level,,23
cook islands,1996,male,20 - 24,second level,,747
cook islands,1996,male,20 - 24,third level,,6
